event_time,truck_id,site_id,status,fuel_rate,payload,engine_temp,duration_seconds
2026-02-15T10:00:00,101,1,ACTIVE,85.2,120.5,88.4,60
2026-02-15T10:01:00,101,1,ACTIVE,86.0,118.2,89.1,60
2026-02-15T10:02:00,101,1,IDLE,15.0,0.0,75.0,60
2026-02-15T10:00:00,102,1,ACTIVE,92.1,130.0,91.0,60
2026-02-15T10:01:00,102,1,ACTIVE,95.5,128.5,96.2,60
2026-02-15T10:02:00,102,1,ACTIVE,97.0,127.9,99.5,60
2026-02-15T10:00:00,201,2,ACTIVE,80.0,110.0,87.0,60
2026-02-15T10:01:00,201,2,DOWN,0.0,0.0,70.0,60
2026-02-15T10:02:00,201,2,ACTIVE,82.0,115.0,88.0,60
2026-02-15T10:03:00,201,2,ACTIVE,83.5,116.2,90.0,60
